Name,Address,Lat,Long,logo
Cityworks,"11075 S State St Ste 24,Sandy UT 84070-5128,United States",40.5507173,-111.8895506,logos/Cityworks.png
con terra GmbH,"Martin-Luther-King-Weg 20,M�nster NW 48155,Germany",51.9351974,7.652768,logos/conterraGmbH.png
Ericsson Inc,"1 Ericsson Dr,Piscataway NJ 08854-4151,United States",40.5413392,-74.4735361,logos/EricssonInc.png
GeoComm,"1100 W Saint Germain St,Saint Cloud MN 56301-3403,United States",45.5575265,-94.1648527,logos/GeoComm.png
Gannett Fleming Inc,"209 Senate Ave,Camp Hill PA 17011-2373,United States",40.254188,-76.918795,logos/GannettFlemingInc.png
HDR Engineering Inc,"1917 S 67th St,Omaha NE 68106-2973,United States",41.2403912,-96.014248,logos/HDREngineeringInc.png
HERE North America LLC,"425 W Randolph St,Chicago IL 60606-1530,United States",41.8842059,-87.6388206,logos/HERENorthAmericaLLC.png
Khatib and Alami,"Al Akhtal Al Saghir St,Beirut 1105-2100,Lebanon",33.8937913,35.5017767,logos/KhatibandAlami.png
Locana,"8400 E Crescent Pkwy,Greenwood Village CO 80111,United States",39.6223224,-104.8891104,logos/Locana.png
MIPMAP DMCC,"Jumairah Lakes Towers,Dubai,United Arab Emirates",25.0692834,55.1417222,logos/MIPMAPDMCC.png
Schneider Electric Smart Grid Solutions,"2620 E Prospect Rd Ste 130,Fort Collins CO 80525-0001,United States",40.568852,-105.0280861,logos/SchneiderElectricSmartGridSolutions.png
SSP Innovations LLC,"6766 S Revere Pkwy Ste 100,Centennial CO 80112-6774,United States",39.5935211,-104.8397502,logos/SSPInnovationsLLC.png
UDC Inc,"82 Inverness Dr E Ste A1,Englewood CO 80112-5146,United States",39.5786765,-104.8610646,logos/UDCInc.png
VertiGIS GmbH,"Mallwitzstr. 1-3,Bonn NW 53177,Germany",50.666024,7.1743639,logos/VertiGISGmbH.png
VertiGIS North America Ltd,"300-1117 Wharf St,Victoria BC V8W 1T7,Canada",48.425547,-123.369606,logos/VertiGISNorthAmericaLtd.png
Xylem Inc,"1 International Dr,Rye Brook NY 10573-1058,United States",41.0501365,-73.6880785,logos/XylemInc.png
Burns & McDonnell Engineering Co,"9400 Ward Pkwy,Kansas City MO 64114-3319,United States",38.9581565,-94.5989646,logos/Burns&McDonnellEngineeringCo.png
1Spatial France,"23-25, avenue du Dr Lannelongue,Paris 75014,France",48.818699,2.3299227,logos/1SpatialFrance.png
3 GIS LLC,"350 Market St Ne Ste C,Decatur AL 35601-1997,United States",34.6128316,-86.9790275,logos/3GISLLC.png
Accenture LLP,"1400 16th St Ste 500,Denver CO 80202-1473,United States",39.7501331,-104.999246,logos/AccentureLLP.png
AccuWeather Inc,"385 Science Park Rd,State College PA 16803-2215,United States",40.7815065,-77.8966347,logos/AccuWeatherInc.png
ALKAN Communications & Information,"Citadel Plaza,Cairo C 11435,Egypt",29.9537564,31.5370003,logos/ALKANCommunications&Information.png
ARC-GREENLAB GmbH,"Eichenstr. 3b,Berlin BE 12435,Germany",52.4965653,13.4552701,logos/ARC-GREENLABGmbH.png
Avineon Inc,"8401 Greensboro Dr Ste 510,Mc Lean VA 22102-5128,United States",38.9276881,-77.2371924,logos/AvineonInc.png
Bartlett & West Inc,"1200 Sw Executive Dr,Topeka KS 66615-3853,United States",39.0450994,-95.7688017,logos/Bartlett&WestInc.png
Bayanat for Mapping & Surveying,"Delma Street o 13,Abu Dhabi,United Arab Emirates",24.4515351,54.3633865,logos/BayanatforMapping&Surveying.png
Blue Raster LLC,"2200 Wilson Blvd Ste 400,Arlington VA 22201-3352,United States",38.8908405,-77.0862127,logos/BlueRasterLLC.png
Bradshaw Consulting Services Inc,"2170 Woodside Executive Ct,Aiken SC 29803-3809,United States",33.505801,-81.7394303,logos/BradshawConsultingServicesInc.png
BTC Business Technology Consulting AG,"Escherweg 5,Oldenburg NI 26121,Germany",53.1482425,8.1992617,logos/BTCBusinessTechnologyConsultingAG.png
Cartegraph Systems LLC,"3600 Digital Dr,Dubuque IA 52003,United States",42.4419542,-90.6774158,logos/CartegraphSystemsLLC.png
CDM Smith Inc,"75 State St Ste 701,Boston MA 02109,United States",42.3585849,-71.0549882,logos/CDMSmithInc.png
CentralSquare Technologies,"1000 Business Center Dr,Lake Mary FL 32746-5585,United States",28.7808259,-81.3611669,logos/CentralSquareTechnologies.png
CHA Integrated Solutions,"141 Longwater Dr Ste 104,Norwell MA 02061-1620,United States",42.1582923,-70.8775142,logos/CHAIntegratedSolutions.png
Clearion Software LLC,"725 Ponce De Leon Ave Ne,Atlanta GA 30306-4329,United States",33.7717204,-84.3634878,logos/ClearionSoftwareLLC.png
IFS AB,"200-13700 International Pl,Richmond BC V6V 2X8,Canada",49.1733505,-123.0703858,logos/IFSAB.png
CyberTech Systems & Software Inc,"3800 Horizon Blvd Ste 104,Trevose PA 19053-4968,United States",40.1395503,-74.9629797,logos/CyberTechSystems&SoftwareInc.png
